file_name,alloy,card,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni,Zn,Ti,Zr,Sc,Other,YS (MPa),UTS (MPa),Uniform EL (percentage),Fracture EL (percentage),YPE (percentage),Casting,Ingot thickness (mm),Homogenization (Celsius/Seconds),homog_steps,homog_time_total_s,homog_temp_max_C,homog_T_time_weighted_C,homog_time_at_ge_520C_s,adequate_homog,Hot rolling reduction (percentage),Cold rolling reduction (percentage),Recrystallization annealing (Celsius/Seconds),recryst_type,recryst_steps,recryst_time_total_s,recryst_temp_max_C,recryst_T_time_weighted_C,adequate_recryst,adequate_recryst_batch,adequate_recryst_flash,Mean grain size (µm),Secondary phase particle size and density,Crystallographic texture,flag_missing_YS,flag_missing_UTS,flag_missing_FractureEL,flag_missing_UniformEL,flag_missing_YPE,Homogenization_RAW,Recrystallization annealing_RAW,comp_sum_before,comp_fix_applied,comp_sum_after,Al_RAW,Si_RAW,Fe_RAW,Cu_RAW,Mn_RAW,Mg_RAW,Cr_RAW,Ni_RAW,Zn_RAW,Ti_RAW,Zr_RAW,Sc_RAW,Other_RAW
AA5xxx Card - 002A.docx,AA5xxx,002A,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,225.5,276.4,9.3,9.3,0.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,86.0,250/3600,flash,1,3600,250.0,250.0,0,0,0,2.0,,,0,0,0,0,0,540°C > 5 hours,"Flash annealing, 250°C 1 hour",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 002B.docx,AA5xxx,002B,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,121.6,231.0,15.1,17.3,1.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,86.0,275/3600,flash,1,3600,275.0,275.0,0,0,0,6.5,,,0,0,0,0,0,540°C > 5 hours,"Flash annealing, 275°C 1 hour",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 002C.docx,AA5xxx,002C,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,117.7,227.7,17.2,18.8,2.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,86.0,300/3600,flash,1,3600,300.0,300.0,1,0,1,7.3,,,0,0,0,0,0,540°C > 5 hours,"Flash annealing, 300°C 1 hour",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 002D.docx,AA5xxx,002D,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,115.8,229.5,21.0,22.8,2.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,86.0,350/3600,flash,1,3600,350.0,350.0,1,0,1,8.2,,,0,0,0,0,0,540°C > 5 hours,"Flash annealing, 350°C 1 hour",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 002E.docx,AA5xxx,002E,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,219.4,264.9,14.2,14.3,0.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,96.0,250/3600,flash,1,3600,250.0,250.0,0,0,0,2.0,,,0,0,0,0,0,540°C > 5 hours,"Flash annealing, 250°C 1 hour",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 002F.docx,AA5xxx,002F,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,119.7,224.8,17.3,18.3,2.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,96.0,300/3600,flash,1,3600,300.0,300.0,1,0,1,7.2,,,0,0,0,0,0,540°C > 5 hours,"Flash annealing, 300°C 1 hour",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 002G.docx,AA5xxx,002G,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,114.5,224.7,21.1,21.1,2.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,96.0,350/3600,flash,1,3600,350.0,350.0,1,0,1,7.8,,,0,0,0,0,0,540°C > 5 hours,"Flash annealing, 350°C 1 hour",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 003A.docx,AA5xxx,003A,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,96.18,222.72,24.17,27.52,0.5,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.2,50.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,27.4,,5.0,0,0,0,0,0,540°C > 5 hours,"Batch annealing, 350°C 2 hours",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 003B.docx,AA5xxx,003B,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,88.57,220.73,19.16,23.13,0.8,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.2,0.0,340/0,direct,1,0,340.0,340.0,0,0,0,26.6,,17.0,0,0,0,0,0,540°C > 5 hours,"direct hot rolled to gauge, exit temperature ~ 340°C.",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 003C.docx,AA5xxx,003C,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,98.8,223.8,20.4,24.2,1.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.2,47.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,17.3,,3.7,0,0,0,0,0,540°C > 5 hours,"Batch annealing, 350°C 2 hours",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 003D.docx,AA5xxx,003D,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,101.45,220.67,20.0,23.0,1.5,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.2,54.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,19.2,,3.8,0,0,0,0,0,540°C > 5 hours,"Batch annealing, 350°C 2 hours",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 020A.docx,AA5xxx,020A,94.87499993,0.03,0.04,1e-08,0.52,4.53,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,156.7,311.3,21.0,31.7,,DC,95.25,540/19800,1.0,19800.0,540.0,540.0,19800.0,1.0,89.0,81.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,13.6,,,0,0,0,0,1,"540°C, 5 - 6 hours","batch annealing, 350°C 2 hours",5.1250000799999995,1,100.0,1e-08,0.03,0.04,1e-08,0.52,4.53,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 020B.docx,AA5xxx,020B,94.30499993,0.03,0.05,1e-08,0.99,4.62,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,173.0,344.5,21.5,24.0,,DC,95.25,540/19800,1.0,19800.0,540.0,540.0,19800.0,1.0,89.0,81.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,10.8,Yes,,0,0,0,0,1,"540°C, 5 - 6 hours","batch annealing, 350°C 2 hours",5.69500008,1,100.0,1e-08,0.03,0.05,1e-08,0.99,4.62,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 020C.docx,AA5xxx,020C,93.85499993,0.04,0.05,1e-08,1.44,4.61,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,193.0,365.0,19.5,22.0,,DC,95.25,540/19800,1.0,19800.0,540.0,540.0,19800.0,1.0,89.0,81.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,10.0,Yes,,0,0,0,0,1,"540°C, 5 - 6 hours","batch annealing, 350°C 2 hours",6.14500008,1,100.0,1e-08,0.04,0.05,1e-08,1.44,4.61,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 020D.docx,AA5xxx,020D,94.76499993,0.06,0.14,1e-08,0.51,4.52,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,162.0,313.4,20.0,26.0,,DC,95.25,540/19800,1.0,19800.0,540.0,540.0,19800.0,1.0,89.0,81.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,11.4,Yes,,0,0,0,0,1,"540°C, 5 - 6 hours","batch annealing, 350°C 2 hours",5.235000079999999,1,100.0,1e-08,0.06,0.14,1e-08,0.51,4.52,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 020E.docx,AA5xxx,020E,94.16499993,0.06,0.16,1e-08,0.99,4.62,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,176.0,347.0,20.3,25.0,,DC,95.25,540/19800,1.0,19800.0,540.0,540.0,19800.0,1.0,89.0,81.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,10.7,Yes,,0,0,0,0,1,"540°C, 5 - 6 hours","batch annealing, 350°C 2 hours",5.8350000799999995,1,100.0,1e-08,0.06,0.16,1e-08,0.99,4.62,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 020F.docx,AA5xxx,020F,93.59499993,0.07,0.18,1e-08,1.48,4.67,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,186.7,362.0,18.0,20.0,,DC,95.25,540/19800,1.0,19800.0,540.0,540.0,19800.0,1.0,89.0,81.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,9.9,Yes,,0,0,0,0,1,"540°C, 5 - 6 hours","batch annealing, 350°C 2 hours",6.40500008,1,100.0,1e-08,0.07,0.18,1e-08,1.48,4.67,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 020G.docx,AA5xxx,020G,94.65499993,0.06,0.26,1e-08,0.51,4.51,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,164.7,316.0,21.3,27.3,,DC,95.25,540/19800,1.0,19800.0,540.0,540.0,19800.0,1.0,89.0,81.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,10.5,Yes,,0,0,0,0,1,"540°C, 5 - 6 hours","batch annealing, 350°C 2 hours",5.345000079999999,1,100.0,1e-08,0.06,0.26,1e-08,0.51,4.51,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 020H.docx,AA5xxx,020H,94.10499993,0.06,0.27,1e-08,0.95,4.61,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,176.0,341.3,21.3,25.3,,DC,95.25,540/19800,1.0,19800.0,540.0,540.0,19800.0,1.0,89.0,81.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,10.2,Yes,,0,0,0,0,1,"540°C, 5 - 6 hours","batch annealing, 350°C 2 hours",5.89500008,1,100.0,1e-08,0.06,0.27,1e-08,0.95,4.61,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 020I.docx,AA5xxx,020I,93.53499993,0.06,0.28,1e-08,1.45,4.67,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,187.7,357.0,18.3,21.0,,DC,95.25,540/19800,1.0,19800.0,540.0,540.0,19800.0,1.0,89.0,81.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,9.3,Yes,,0,0,0,0,1,"540°C, 5 - 6 hours","batch annealing, 350°C 2 hours",6.465000079999999,1,100.0,1e-08,0.06,0.28,1e-08,1.45,4.67,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 021A.docx,AA5xxx,021A,98.61499993,0.08,0.45,1e-08,0.05,0.8,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,54.2,129.9,24.9,25.1,,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.0,75.0,300/7200,batch,1,7200,300.0,300.0,1,1,0,20.7,,,0,0,0,0,1,540°C > 5 hours,"batch annealing, 300°C 2 hours",1.3850000799999997,1,100.0,1e-08,0.08,0.45,1e-08,0.05,0.8,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 021B.docx,AA5xxx,021B,98.61499993,0.08,0.45,1e-08,0.05,0.8,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,50.0,121.8,27.1,27.2,,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.0,75.0,320/7200,batch,1,7200,320.0,320.0,1,1,0,30.0,,,0,0,0,0,1,540°C > 5 hours,"batch annealing, 320°C 2 hours",1.3850000799999997,1,100.0,1e-08,0.08,0.45,1e-08,0.05,0.8,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 021C.docx,AA5xxx,021C,98.61499993,0.08,0.45,1e-08,0.05,0.8,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,50.0,121.2,28.4,28.5,,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.0,75.0,340/7200,batch,1,7200,340.0,340.0,1,1,0,30.5,,,0,0,0,0,1,540°C > 5 hours,"batch annealing, 340°C 2 hours",1.3850000799999997,1,100.0,1e-08,0.08,0.45,1e-08,0.05,0.8,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 021D.docx,AA5xxx,021D,98.61499993,0.08,0.45,1e-08,0.05,0.8,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,50.0,110.6,37.9,38.0,,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.0,63.0,300/7200,batch,1,7200,300.0,300.0,1,1,0,36.1,,,0,0,0,0,1,540°C > 5 hours,"batch annealing, 300°C 2 hours",1.3850000799999997,1,100.0,1e-08,0.08,0.45,1e-08,0.05,0.8,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 022A.docx,AA5xxx,022A,98.71499993,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,50.0,112.5,17.4,17.5,0.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,50.0,325/7200,batch,1,7200,325.0,325.0,1,1,0,60.0,,,0,0,0,0,0,540°C > 5 hours,"batch annealing, 325°C 2 hours",1.2850000799999997,1,100.0,1e-08,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 022B.docx,AA5xxx,022B,98.71499993,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,50.0,107.3,19.7,19.7,0.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,50.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,75.0,,,0,0,0,0,0,540°C > 5 hours,"batch annealing, 350°C 2 hours",1.2850000799999997,1,100.0,1e-08,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 022C.docx,AA5xxx,022C,98.71499993,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,50.0,106.2,19.3,19.3,0.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,50.0,375/7200,batch,1,7200,375.0,375.0,1,1,0,80.0,,,0,0,0,0,0,540°C > 5 hours,"batch annealing, 375°C 2 hours",1.2850000799999997,1,100.0,1e-08,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 022D.docx,AA5xxx,022D,98.71499993,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,50.0,112.7,16.6,16.7,0.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,60.0,325/7200,batch,1,7200,325.0,325.0,1,1,0,62.0,,,0,0,0,0,0,540°C > 5 hours,"batch annealing, 325°C 2 hours",1.2850000799999997,1,100.0,1e-08,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 022E.docx,AA5xxx,022E,98.71499993,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,50.0,108.1,20.0,20.1,0.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,60.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,65.0,,,0,0,0,0,0,540°C > 5 hours,"batch annealing, 350°C 2 hours",1.2850000799999997,1,100.0,1e-08,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 022F.docx,AA5xxx,022F,98.71499993,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,50.0,107.4,20.0,20.2,0.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,60.0,375/7200,batch,1,7200,375.0,375.0,1,1,0,75.0,,,0,0,0,0,0,540°C > 5 hours,"batch annealing, 375°C 2 hours",1.2850000799999997,1,100.0,1e-08,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 022G.docx,AA5xxx,022G,98.71499993,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,50.0,115.8,19.5,19.5,0.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,70.0,325/7200,batch,1,7200,325.0,325.0,1,1,0,60.0,,,0,0,0,0,0,540°C > 5 hours,"batch annealing, 325°C 2 hours",1.2850000799999997,1,100.0,1e-08,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 022H.docx,AA5xxx,022H,98.71499993,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,50.0,109.7,21.8,21.9,0.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,70.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,75.0,,,0,0,0,0,0,540°C > 5 hours,"batch annealing, 350°C 2 hours",1.2850000799999997,1,100.0,1e-08,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 022I.docx,AA5xxx,022I,98.71499993,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,50.0,110.8,21.1,21.3,,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,70.0,375/7200,batch,1,7200,375.0,375.0,1,1,0,75.0,,,0,0,0,0,1,540°C > 5 hours,"batch annealing, 375°C 2 hours",1.2850000799999997,1,100.0,1e-08,0.08,0.1,1e-08,0.1,1.0,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
